gene_id	gene_short_name	YPGR_Day1_Rep1	YPGR_Day2_Rep1	YPGR_Day3_Rep1	YPGR_Day4_Rep1	YPGR_Day5_Rep1	YPD_Day1_Rep1	YPD_Day2_Rep1	YPD_Day3_Rep1	YPD_Day4_Rep1	YPD_Day5_Rep1	YPGR_Day1_Rep2	YPGR_Day2_Rep2	YPGR_Day3_Rep2	YPGR_Day4_Rep2	YPGR_Day5_Rep2	YPD_Day1_Rep2	YPD_Day2_Rep2	YPD_Day3_Rep2	YPD_Day4_Rep2	YPD_Day5_Rep2	YPGR_Day1_Rep3	YPGR_Day2_Rep3	YPGR_Day3_Rep3	YPGR_Day4_Rep3	YPGR_Day5_Rep3	YPD_Day1_Rep3	YPD_Day2_Rep3	YPD_Day3_Rep3	YPD_Day4_Rep3	YPD_Day5_Rep3
YOR182C	RPS30B	105.63736	142.823761	122.737488	90.602013	119.704567	40.048824	66.841042	52.366383	78.542374	37.713322	115.422791	84.007095	110.032005	90.381355	99.455208	74.262108	87.547279	59.882484	52.230148	68.897224	96.446861	100.577629	122.140282	79.858452	57.486004	76.182983	79.236839	74.735718	46.139141	67.297752
YBR200W-A	YBR200W-A	0.9622	0.814934	0	0	0	1.6788	0	0	0	0.244386	0	0	1.705835	0.972063	0	0	0	0	0	1.10483	0	0	0	0	0	0.058065	0	0.604102	0	0
YIR018C-A	YIR018C-A	0.999286	1.21577	3.658659	0	0.476272	0.366405	0.789319	0.428239	0.84923	6.908855	0.496887	0.247997	0.997886	1.589124	0.612988	0.779267	0.119725	0.087036	0	0	0.105929	0.723015	1.524286	0.233412	0	0.146645	0	0.732034	0.358429	0.119587
YDL133C-A	RPL41B	576.954956	477.076721	406.211761	357.846344	380.752655	406.164551	447.430634	449.791809	432.127502	355.072266	484.809174	498.062988	445.14328	411.554779	405.8237	456.834839	611.923279	483.82135	497.034271	579.063538	468.10318	419.847748	317.19165	298.178589	258.644043	462.733673	533.740173	515.306458	582.764343	482.572235
YOR302W	YOR302W	170.06871	154.343445	130.456879	158.006317	160.242981	131.771118	169.815811	127.696983	111.811783	125.598778	181.351151	215.939484	206.184784	247.219009	221.147339	137.635071	139.160568	135.954437	128.902588	141.084671	203.733704	220.251556	262.005402	288.742401	352.66037	147.344177	119.899727	165.102188	126.93483	123.705391
YOR167C	RPS28A	99.908836	145.192032	133.549622	113.539505	120.795532	75.721291	74.372543	65.632599	74.213646	89.024315	106.402092	80.448318	136.844009	113.656471	98.470474	75.87133	94.366089	92.778511	49.711929	50.741291	70.071205	196.584106	131.315872	226.387573	130.127945	59.598164	67.356476	51.724068	37.408005	38.700108
YDL025W-A	YDL025W-A	1.377293	1.167138	0	0	0	0	0	0.30864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLL019W-A	YLL019W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR115W	YDR115W	15.1902	51.810955	28.822077	17.3368	17.39839	28.003477	27.438343	25.00351	18.114841	24.255722	51.038765	28.728174	10.879663	12.60932	15.08212	23.578005	41.679951	51.279991	39.510429	61.333263	19.985859	9.748186	6.970657	5.519676	0	22.303534	20.96093	20.003361	12.490398	35.397045
YDL184C	RPL41A	0	0	0	0	1.363683	0	0	0.332382	0	0	0	0	0	0	0	0	0	0	0	0	0	1.387836	0	2.004947	0	0.894909	0	0	0	0
YLR038C	COX12	45.989754	45.98526	41.365475	40.694447	56.253525	121.507607	102.349518	101.923477	121.548676	84.759018	24.370193	18.44331	14.715569	23.022408	17.130264	80.656929	168.327103	79.247704	106.445625	133.946518	64.982849	52.087154	57.786228	34.330025	32.825298	64.77092	54.808147	25.721445	66.58062	58.202171
YIL002W-A	YIL002W-A	0	0	0	0	0.257036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86808	0	0	0	0	0.368045	0.384535	0	0	0	0
YDR225W	HTA1	4221.330566	4597.296875	4667.305664	4443.691406	4530.142578	3861.907715	3616.2771	3542.301758	3647.950439	3477.748779	4044.872314	4772.142578	4799.748535	4788.055664	4371.790039	3689.893311	3488.625977	3562.650146	3297.074219	3314.437012	5518.10791	5595.321777	4785.366699	4714.644043	4813.93457	3747.482666	3723.744385	3748.520752	3834.583008	3702.951416
